Order Type,State,PinCode,Address,Franchise Id,Franchise Code,Active,Franchise Name,Order Id,Invoice Id,Order Amount,Received At,Invoiced At,Invoiced_Month,Status,Company,Brand,Brand Category,Product,Product Variant,Product MRP,Product SKU,HSN Code,Product Unit Type,Product Unit Quantity,Product Case Size,Order Case,Order Quantity,Rlp Value,Order Value,Order GST,Applied Gst Rate,XPand margin (%),XPand margin(value),Finalize margin (%),Landing Purchase Price,Scheme Type (Company Discount),Company Discount  (in %),Applied Without Gst Company Discount,Applied Gst Company Discount,Free Variant From Company,Free Quantity From Company,Scheme Type (Xpand Discount),Xpand Discount (in %),Applied Without Gst Xpand Discount,Applied Gst Xpand Discount,Free Variant From Xpand,Free Quantity From Xpand,Warehouse Consumption,Company Consumption,sale
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-A,LMC21-22/UP00634,8835.826416,2022-01-21 06:34:55,2022-01-28 12:58:29,1,Delivered,LINC Pens and Plastics,Pentonic,Ball,Pentonic Ball,Ball,500,FGD000110000010294,,,50,24,1,24,390.249,7487.98848,1347.837936,18,,,,9365.976,,,,,,,,,,,,,,,8836
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-B,LMC21-22/UP00797,5250.205084,2022-01-21 06:34:55,2022-01-28 15:05:39,1,Delivered,The Ravalgaon Sugar Farm Limited,Ravalgaon,FMCG,Pan Pasand,HB Sweets_PAN P 250DT 800G JR,200,1050862,,,1,12,1,12,173.913043,1757.881164,210.945744,12,,,,2086.956516,,,,,,,,,,,,,,,1969
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-B,LMC21-22/UP00797,5250.205084,2022-01-21 06:34:55,2022-01-28 15:05:39,1,Delivered,The Ravalgaon Sugar Farm Limited,Ravalgaon,FMCG,Pan Pasand,HB Sweets_PAN P 250DT 2KG JR,500,1052182,,,1,8,1,8,434.782609,2929.801944,351.576232,12,,,,3478.260872,,,,,,,,,,,,,,,3281
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-C,LMC21-22/UP00798,2174.940904,2022-01-21 06:34:55,2022-01-28 17:37:54,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,KOPIKO,KOPIKO,KOPIKO JAR,KOPIKO CAPPUCINO 4X650X3.5G (CAPPUCINO (310251)),650,310251,,,650,4,1,4,575.000001,1941.91152,233.029384,12,,,,2300.000004,,,,,,,,,,,,,,,2175
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-D,LMC21-22/UP00799,14814.81466,2022-01-21 06:34:55,2022-01-28 15:05:59,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (S 2),Super Cutes Base (S 1),10,8.908E+12,,,1,240,5,1200,8.77193,8702.3112,1044.2772,12,,,,8576.99832,percentage_discount,20,1740.46224,208.85544,,,,,,,,,,,7797
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-D,LMC21-22/UP00799,14814.81466,2022-01-21 06:34:55,2022-01-28 15:05:59,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (M 2),Super Cutes Base (M 1),11,8.908E+12,,,1,240,3,720,9.649123,5743.52568,689.22288,12,,,,5660.818848,percentage_discount,20,1148.705136,137.844576,,,,,,,,,,,5146
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-D,LMC21-22/UP00799,14814.81466,2022-01-21 06:34:55,2022-01-28 15:05:59,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (L 2),Super Cutes Base (L 1),12,8.908E+12,,,1,240,1,240,10.526316,2088.55488,250.62648,12,,,,2058.479568,percentage_discount,20,417.710976,50.125296,,,,,,,,,,,1871
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-E,LMC21-22/UP00800,5457.056832,2022-01-21 06:34:55,2022-01-28 17:36:20,1,Delivered,United Biscuits Private Limited,MCVITIE'S,DIGESTIVE,Digs Mini (144x58.5g) (Rs.10),Digs Mini (144x58.5g) (Rs.10),10,1000668,,,59,144,1,144,8.93,1028.078064,185.054112,18,,,,1285.92,,,,,,,,,,,,,,,1213
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-E,LMC21-22/UP00800,5457.056832,2022-01-21 06:34:55,2022-01-28 17:36:20,1,Delivered,United Biscuits Private Limited,MCVITIE'S,COOKIES,"Butter (144x60g, New)(Rs. 10)","Butter (144x60g, New)(Rs. 10)",10,1000612,,,60,144,1,144,8.93,1028.078064,185.054112,18,,,,1285.92,,,,,,,,,,,,,,,1213
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-E,LMC21-22/UP00800,5457.056832,2022-01-21 06:34:55,2022-01-28 17:36:20,1,Delivered,United Biscuits Private Limited,MCVITIE'S,COOKIES,Cashew (144x60g),Cashew (144x60g),10,1000028,,,60,144,1,144,8.93,1028.078064,185.054112,18,,,,1285.92,,,,,,,,,,,,,,,1213
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-E,LMC21-22/UP00800,5457.056832,2022-01-21 06:34:55,2022-01-28 17:36:20,1,Delivered,United Biscuits Private Limited,MCVITIE'S,DIGESTIVE,"Digs Mini (216x29.25g) (CDU, Rs.5)","Digs Mini (216x32.5g) (CDU, Rs.5)",5,1000606,,,33,216,2,432,4.46,1540.390176,277.270128,18,,,,1926.72,,,,,,,,,,,,,,,1818
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-F,LMC21-22/UP00801,2716.9812,2022-01-21 06:34:55,2022-01-28 17:35:08,1,Delivered,N Ranga Rao and Sons Pvt Ltd,RHYTHM,Puja Products,CONE_CRAT,CONE (DF00000138),10,DF00000138,,,10,360,1,360,8,2587.60116,129.38004,5,,,,2880,,,,,,,,,,,,,,,2717
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-G,LMC21-22/UP00803,4250.425686,2022-01-21 06:34:55,2022-01-28 17:34:04,1,Delivered,Soothe Healthcare Pvt Ltd,PAREE,SANITARY PADS,Paree Dry Base (6),Paree Dry Base (6),20,8.908E+12,,,6,140,1,140,17.54386,2274.2041,0,,,,,2077.030577,percentage_discount,16.67,379.1098235,,,,,,,,,,,,1895
Normal,West Uttar Pradesh,205135,"83, ETAWAH ROAD, SIRSAGANJ, Firozabad, Uttar Pradesh",286,FNUP1059,inactive,RAJ & RAJ TRADERS,8A01B1703A-G,LMC21-22/UP00803,4250.425686,2022-01-21 06:34:55,2022-01-28 17:34:04,1,Delivered,Soothe Healthcare Pvt Ltd,PAREE,SANITARY PADS,Paree Dry XL Base (6),Paree Dry XL Base (6),30,8.908E+12,,,6,116,1,116,26.315789,2826.510752,0,,,,,2581.452182,percentage_discount,16.67,471.1793424,,,,,,,,,,,,2355
Normal,East Uttar Pradesh,221306,"KHAMARIA, KHAMARIA, Sant Ravidas Nagar, Uttar Pradesh",66,FNUP054,inactive,MIHIR ENTER PRISES,F5721C107D-A,LMC21-22/UP00782,8554.996863,2022-01-21 06:48:41,2022-01-28 17:36:28,1,Delivered,Soothe Healthcare Pvt Ltd,PAREE,SANITARY PADS,Paree Dry Base (6),Paree Dry Base (6),20,8.908E+12,,,6,140,1,140,17.54386,2274.2041,0,,,,,2077.030577,percentage_discount,16.67,379.1098235,,,,,,,,,,,,1895
